,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
530,6/15/2023,,,,U-88 (IROSA 1B),US,Actual,EVA
531,6/16/2023,,,,,,,
532,6/17/2023,,,,,,,
533,6/18/2023,,,,,,,
534,6/19/2023,,,,U (IROSA 3B),US,*Estimated,EVA
535,6/20/2023,,,,U (IROSA Contingency),US,Not Needed,EVA
536,6/21/2023,,,,,,,
537,6/22/2023,,,,R-59,RS,Actual,EVA
538,6/23/2023,,,,,,,
539,6/24/2023,,,,,,,
540,6/25/2023,,,,,,,
541,6/26/2023,,,,,,,
542,6/27/2023,,,,,,,
543,6/28/2023,,,,,,,
544,6/29/2023,SpX-28,N2 Zenith,Cargo Dragon,,,,Undock
545,6/30/2023,SpX-28,N2 Zenith,Cargo Dragon,,,,Landing
546,7/1/2023,,,,,,,
547,7/2/2023,,,,,,,
548,7/3/2023,,,,,,,
549,7/4/2023,,,,,,,
550,7/5/2023,,,,,,,
551,7/6/2023,,,,,,,
552,7/7/2023,,,,,,,
553,7/8/2023,,,,,,,
554,7/9/2023,,,,,,,
555,7/10/2023,,,,,,,
556,7/11/2023,,,,,,,
557,7/12/2023,,,,,,,
558,7/13/2023,,,,,,,
559,7/14/2023,,,,,,,
560,7/15/2023,,,,U (xEMU ISS Demo - TBD EVAs),US,*Estimated,EVA
561,7/16/2023,,,,,,,
562,7/17/2023,,,,,,,
563,7/18/2023,,,,,,,
564,7/19/2023,,,,,,,
565,7/20/2023,,,,,,,
566,7/21/2023,,,,,,,
567,7/22/2023,,,,,,,
568,7/23/2023,,,,,,,
569,7/24/2023,,,,,,,
570,7/25/2023,,,,,,,
571,7/26/2023,,,,,,,
572,7/27/2023,,,,,,,
573,7/28/2023,,,,,,,
574,7/29/2023,,,,,,,
575,7/30/2023,,,,,,,
576,7/31/2023,,,,,,,
577,8/1/2023,,,,U (IROSA 1B Contingency 1),US,Not Needed,EVA
578,8/2/2023,NG-19,N1 Nadir,CRS2 Cygnus,,,,Launch
579,8/3/2023,,,,U (IROSA 1B Contingency 2),US,Not Needed,EVA
580,8/4/2023,NG-19,N1 Nadir,CRS2 Cygnus,,,,Dock
581,8/5/2023,,,,,,,
582,8/6/2023,,,,,,,
583,8/7/2023,,,,,,,
584,8/8/2023,,,,,,,
585,8/9/2023,,,,R-60,RS,Actual,EVA
586,8/10/2023,,,,,,,
587,8/11/2023,,,,,,,
588,8/12/2023,,,,,,,
589,8/13/2023,,,,,,,
590,8/14/2023,,,,,,,
591,8/15/2023,,,,,,,
592,8/16/2023,,,,,,,
593,8/17/2023,,,,,,,
594,8/18/2023,,,,,,,
595,8/19/2023,,,,,,,
596,8/20/2023,83Progress,SM-Aft,Progress,,,,Undock
597,8/21/2023,83Progress,SM-Aft,Progress,,,,Landing
598,8/22/2023,,,,,,,
599,8/23/2023,85Progress,SM-Aft,Progress,,,,Launch
600,8/24/2023,,,,,,,
601,8/25/2023,85Progress,SM-Aft,Progress,,,,Dock
602,8/26/2023,Crew-7,N2 Zenith,Crew Dragon,,,,Launch
603,8/27/2023,Crew-7,N2 Zenith,Crew Dragon,,,,Dock
604,8/28/2023,,,,,,,
605,8/29/2023,,,,,,,
606,8/30/2023,,,,,,,
607,8/31/2023,,,,,,,
608,9/1/2023,,,,,,,
609,9/2/2023,,,,,,,
610,9/3/2023,Crew-6,N2 Zenith,Crew Dragon,,,,Undock
611,9/4/2023,Crew-6,N2 Zenith,Crew Dragon,,,,Landing
612,9/5/2023,,,,,,,
613,9/6/2023,,,,,,,
614,9/7/2023,,,,,,,
615,9/8/2023,,,,,,,
616,9/9/2023,,,,,,,
617,9/10/2023,,,,,,,
